date,first,second,Third,fourth,notes
14/07/2022,25,25,25,25,Started
15/07/2022,2.6,2.6,2.6,2.6,Sample
16/07/2022,2.7,2.7,2.7,2.7,Sample
17/07/2022,2.6,2.6,2.6,2.6,Sample
18/07/2022,3,3,3,3,Sample
19/07/2022,3,3,3,3,Sample
20/07/2022,4,4,4,4,Sample
21/07/2022,4,4,4,4,Sample
22/07/2022,6,6,6,6,Sample
23/07/2022,6,6,5,5,Sample
24/07/2022,5,5,5,5,Sample
25/07/2022,5,5,5,5,Sample
26/07/2022,6,6,6,6,Sample
27/07/2022,6,7,7,7,Sample
28/07/2022,7,6,6,6,Sample
29/07/2022,7,7,7,8,Sample
30/07/2022,8,8,8,8,Sample
31/07/2022,9,9,9,9,Sample
01/08/2022,9,9,9,9,Sample
02/08/2022,8,8,8,7,Sample
03/08/2022,8,8,7,7,Sample
04/08/2022,8,8,8,8,Sample
5/8/22,8,8,9,9,Sample
6/8/22,9,9,9,9,Sample
7/8/22,10,9,8,8,Sample
8/8/22,8,8,8,8,Sample
9/8/22,8,8,8,9,Sample
10/8/22,9,9,9,9,Sample
11/8/22,9,9,9,9,Sample
12/8/22,9,9,9,9,Sample
13/8/22,10,11,11,11,Sample
14/8/22,12,13,13,13,Sample
15/8/22,13,15,15,15,Sample
16/8/22,14,14,14,14,Sample
17/8/22,14,14,14,14,Sample
18/8/22,14,15,15,15,Sample
19/8/22,15,15,15,15,Sample
20/8/22,15,16,16,16,Sample
21/8/22,15,16,16,17,Sample
22/8/22,16,16,17,17,Sample
23/8/22,16,16,17,17,Sample
24/8/22,16,17,17,17,Sample
25/8/22,16,17,17,17,Sample
26/8/22,16,18,18,18,Sample
27/8/22,17,18,18,18,Sample
28/8/22,18,16,16,16,Sample
29/8/22,18,19,19,19,Sample
30/8/22,19,20,20,20,Sample
31/8/22,20,21,21,21,Sample
1/9/22,21,21,21,21,Sample
2/9/22,13,10,8,8,Sample
3/9/22,8,8,8,8,Sample
4/9/22,8,8,8,9,Sample
5/9/22,11,11,11,11,Sample
6/9/22,13,13,13,14,Sample
7/9/22,14,14,14,14,Sample
8/9/22,13,13,13,14,Sample
9/9/23,13,13,13,13,Sample
10/9/22,10,10,11,11,Sample
11/9/22,10,10,11,11,Sample
12/9/22,10,12.5,12.5,12.5,Sample
13/9/22,10,13,13,13,Sample
14/9/22,10,13,13,14,Sample
15/9/22,12.5,15,16,15,Sample
16/9/22,12.5,15,15,15,Sample
17/9/22,13,16,16,15,Sample
18/9/22,14,16,16,16,Sample
19/9/22,13,15,15,15,Sample
20/9/22,13,15,14,14,Sample
21/9/22,13,14,14,14,Sample
22/9/22,13,13,13,13,Sample
23/9/22,13,13,13,13,Sample
24/9/22,13,13,13,13,Sample
25/9/22,13,14,14,15,Sample
26/9/23,14,15,15,15,Sample
27/9/22,14,15,15,15,Sample
28/9/22,13,13,13,18,Sample
